Clave,Base,Subgerencia,Área Patrimonio,EESS,Geo Ref,Geográfica,Dotación,F. de Combate,UTM (X) epsg:32518,UTM (Y) epsg:32518,Geo Lat.,Geo Lon.,Región,Comuna,Tipo
319,Tralpenes,Norte,Nacimiento,Serfonac,HG 4510 D,3.5 km  al E de Nacimiento,1,1,709953.88,5845528.14,"37° 30' 47"""" ","72º 37' 28""",Biobio,Nacimiento,MECANIZADA
412,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,17,12,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,HELITRANSPORTADA
411,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,6,4,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,CISTERNA
419,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,1,1,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,MECANIZADA
615,Victoria,Sur,Victoria,Safco,IB 6534 D,Victoria,14,10,733543.09,5765144.5,"38° 13' 52""","72° 19' 54""",Araucania,Victoria,TERRESTRE
3110,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,23 km  al SO de Nacimiento,14,10,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,TERRESTRE
811,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,2.3 km  al SO de Nacimiento,5,3,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,Interfaz
812,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,2.3 km  al SO de Nacimiento,5,3,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,Interfaz
613,Villa Mulchén,Sur,Mulchen,Safco,HI 2142 C,0.82 Km SW de Mulchén,14,10,741026.49,5820619.42,"37° 43' 47""","72° 15' 52""",Biobio,Mulchen,TERRESTRE
413,Yumbel,Norte,Los Angeles,Serfonac,GN 8522 D,8 Km al SE Yumbel,14,10,722302.33,5885544.29,"37º 09' 02"" ","72º 30' 20""",Biobio,Yumbel,TERRESTRE

